event,user_id,timestamp,time_taken_in_ms,wpm,numBksp
key_press,1,2021-05-17 20:20:30.880483,114,0,0
key_press,1,2021-05-17 20:20:31.010277,128,0,0
key_press,1,2021-05-17 20:20:31.221389,209,0,0
key_press,1,2021-05-17 20:20:31.464978,241,0,0
key_press,1,2021-05-17 20:20:31.680181,214,0,0
key_press,1,2021-05-17 20:20:31.884376,202,0,0
key_press,1,2021-05-17 20:20:31.978959,92,0,0
key_press,1,2021-05-17 20:20:32.197379,217,0,0
key_press,1,2021-05-17 20:20:32.255935,56,0,0
key_press,1,2021-05-17 20:20:32.400065,143,0,0
word,1,2021-05-17 20:20:32.402065,1636,0,0
key_press,1,2021-05-17 20:20:32.576343,174,0,0
key_press,1,2021-05-17 20:20:32.791355,213,0,0
key_press,1,2021-05-17 20:20:32.919388,126,0,0
key_press,1,2021-05-17 20:20:33.015427,94,0,0
key_press,1,2021-05-17 20:20:33.131457,114,0,0
key_press,1,2021-05-17 20:20:33.296381,163,0,0
key_press,1,2021-05-17 20:20:33.382679,84,0,0
key_press,1,2021-05-17 20:20:33.522471,138,0,0
key_press,1,2021-05-17 20:20:33.650932,126,0,0
key_press,1,2021-05-17 20:20:33.704376,53,0,0
word,1,2021-05-17 20:20:33.706376,1302,0,0
key_press,1,2021-05-17 20:20:33.820476,114,0,0
key_press,1,2021-05-17 20:20:33.915750,93,0,0
key_press,1,2021-05-17 20:20:34.060931,143,0,0
key_press,1,2021-05-17 20:20:34.134147,72,0,0
key_press,1,2021-05-17 20:20:34.162457,26,0,0
word,1,2021-05-17 20:20:34.164458,456,0,0
key_press,1,2021-05-17 20:20:34.273342,109,0,0
key_press,1,2021-05-17 20:20:34.475334,200,0,0
key_press,1,2021-05-17 20:20:34.541384,64,0,0
key_press,1,2021-05-17 20:20:34.625480,82,0,0
word,1,2021-05-17 20:20:34.626479,460,0,0
key_press,1,2021-05-17 20:20:34.696497,70,0,0
key_press,1,2021-05-17 20:20:34.793470,95,0,0
key_press,1,2021-05-17 20:20:34.858901,63,0,0
key_press,1,2021-05-17 20:20:35.028480,168,0,0
key_press,1,2021-05-17 20:20:35.068377,38,0,0
key_press,1,2021-05-17 20:20:35.190651,120,0,0
word,1,2021-05-17 20:20:35.192651,563,0,0
key_press,1,2021-05-17 20:20:35.253553,61,0,0
key_press,1,2021-05-17 20:20:35.359470,104,0,0
key_press,1,2021-05-17 20:20:35.457377,96,0,0
key_press,1,2021-05-17 20:20:35.516379,57,0,0
word,1,2021-05-17 20:20:35.518380,325,0,0
key_press,1,2021-05-17 20:20:35.667479,149,0,0
key_press,1,2021-05-17 20:20:35.710490,41,0,0
key_press,1,2021-05-17 20:20:35.776376,64,0,0
key_press,1,2021-05-17 20:20:36.006967,228,0,0
key_press,1,2021-05-17 20:20:36.126611,118,0,0
key_press,1,2021-05-17 20:20:36.225936,97,0,0
key_press,1,2021-05-17 20:20:36.291470,64,0,0
key_press,1,2021-05-17 20:20:36.394477,101,0,0
key_press,1,2021-05-17 20:20:36.505343,109,0,0
key_press,1,2021-05-17 20:20:36.610383,103,0,0
key_press,1,2021-05-17 20:20:36.729423,117,0,0
key_press,1,2021-05-17 20:20:37.030929,299,0,0
key_press,1,2021-05-17 20:20:37.162949,130,0,0
word,1,2021-05-17 20:20:37.164950,1644,0,0
key_press,1,2021-05-17 20:20:37.277496,113,0,0
key_press,1,2021-05-17 20:20:37.379957,100,0,0
key_press,1,2021-05-17 20:20:37.447949,66,0,0
key_press,1,2021-05-17 20:20:37.544377,96,0,0
key_press,1,2021-05-17 20:20:37.823354,277,0,0
sentence,1,2021-05-17 20:20:38.072374,7306,57.4869969887764,0
key_press,1,2021-05-17 20:20:39.251453,111,0,0
key_press,1,2021-05-17 20:20:39.383028,130,0,0
key_press,1,2021-05-17 20:20:39.475472,90,0,0
word,1,2021-05-17 20:20:39.477472,337,0,0
key_press,1,2021-05-17 20:20:39.583009,106,0,0
key_press,1,2021-05-17 20:20:39.661366,77,0,0
key_press,1,2021-05-17 20:20:39.780898,117,0,0
key_press,1,2021-05-17 20:20:39.994914,212,0,0
key_press,1,2021-05-17 20:20:40.058898,62,0,0
key_press,1,2021-05-17 20:20:40.164380,104,0,0
word,1,2021-05-17 20:20:40.166381,687,0,0
key_press,1,2021-05-17 20:20:40.308377,142,0,0
key_press,1,2021-05-17 20:20:40.385375,75,0,0
key_press,1,2021-05-17 20:20:40.483365,96,0,0
key_press,1,2021-05-17 20:20:40.547382,62,0,0
key_press,1,2021-05-17 20:20:40.683914,134,0,0
word,1,2021-05-17 20:20:40.685914,517,0,0
key_press,1,2021-05-17 20:20:40.808942,123,0,0
key_press,1,2021-05-17 20:20:40.907354,97,0,0
key_press,1,2021-05-17 20:20:41.086475,177,0,0
key_press,1,2021-05-17 20:20:41.203471,115,0,0
key_press,1,2021-05-17 20:20:41.327937,122,0,0
word,1,2021-05-17 20:20:41.329937,642,0,0
key_press,1,2021-05-17 20:20:41.452390,123,0,0
key_press,1,2021-05-17 20:20:41.886381,431,0,0
key_press,1,2021-05-17 20:20:43.004491,1116,0,0
key_press,1,2021-05-17 20:20:43.172470,166,0,0
key_press,1,2021-05-17 20:20:43.267381,93,0,0
key_press,1,2021-05-17 20:20:43.381770,112,0,0
key_press,1,2021-05-17 20:20:43.468889,85,0,0
word,1,2021-05-17 20:20:43.470892,2139,0,0
key_press,1,2021-05-17 20:20:43.558447,88,0,0
key_press,1,2021-05-17 20:20:43.978884,418,0,0
key_press,1,2021-05-17 20:20:44.151374,171,0,0
key_press,1,2021-05-17 20:20:44.240469,87,0,0
key_press,1,2021-05-17 20:20:44.452882,210,0,0
key_press,1,2021-05-17 20:20:44.513480,59,0,0
key_press,1,2021-05-17 20:20:44.603469,88,0,0
word,1,2021-05-17 20:20:44.605469,1134,0,0
key_press,1,2021-05-17 20:20:44.762881,157,0,0
key_press,1,2021-05-17 20:20:44.889481,125,0,0
key_press,1,2021-05-17 20:20:45.021469,130,0,0
key_press,1,2021-05-17 20:20:45.139350,116,0,0
key_press,1,2021-05-17 20:20:45.329192,187,0,0
key_press,1,2021-05-17 20:20:45.424881,93,0,0
key_press,1,2021-05-17 20:20:45.517470,91,0,0
word,1,2021-05-17 20:20:45.519471,912,0,0
key_press,1,2021-05-17 20:20:45.657350,138,0,0
key_press,1,2021-05-17 20:20:45.760375,101,0,0
key_press,1,2021-05-17 20:20:45.941482,179,0,0
key_press,1,2021-05-17 20:20:46.008283,65,0,0
key_press,1,2021-05-17 20:20:46.215505,205,0,0
key_press,1,2021-05-17 20:20:46.281470,64,0,0
word,1,2021-05-17 20:20:46.283470,762,0,0
key_press,1,2021-05-17 20:20:46.443533,160,0,0
key_press,1,2021-05-17 20:20:46.701386,256,0,0
key_press,1,2021-05-17 20:20:46.772380,69,0,0
word,1,2021-05-17 20:20:46.775380,490,0,0
key_press,1,2021-05-17 20:20:46.913910,138,0,0
key_press,1,2021-05-17 20:20:46.998909,83,0,0
key_press,1,2021-05-17 20:20:47.135685,135,0,0
key_press,1,2021-05-17 20:20:47.241378,104,0,0
key_press,1,2021-05-17 20:20:47.450376,206,0,0
key_press,1,2021-05-17 20:20:47.557471,104,0,0
key_press,1,2021-05-17 20:20:47.626456,67,0,0
key_press,1,2021-05-17 20:20:47.929910,301,0,0
key_press,1,2021-05-17 20:20:48.050477,119,0,0
key_press,1,2021-05-17 20:20:48.298866,246,0,0
key_press,1,2021-05-17 20:20:48.410353,110,0,0
word,1,2021-05-17 20:20:48.412354,1636,0,0
key_press,1,2021-05-17 20:20:48.533343,121,0,0
key_press,1,2021-05-17 20:20:48.619858,84,0,0
key_press,1,2021-05-17 20:20:48.721471,100,0,0
key_press,1,2021-05-17 20:20:48.802419,79,0,0
word,1,2021-05-17 20:20:48.804420,390,0,0
key_press,1,2021-05-17 20:20:48.961874,157,0,0
key_press,1,2021-05-17 20:20:49.097384,134,0,0
key_press,1,2021-05-17 20:20:49.198869,99,0,0
key_press,1,2021-05-17 20:20:49.308976,108,0,0
word,1,2021-05-17 20:20:49.310977,504,0,0
key_press,1,2021-05-17 20:20:49.480469,170,0,0
key_press,1,2021-05-17 20:20:49.795299,313,0,0
key_press,1,2021-05-17 20:20:49.943478,146,0,0
key_press,1,2021-05-17 20:20:50.148350,203,0,0
key_press,1,2021-05-17 20:20:50.321853,171,0,0
key_press,1,2021-05-17 20:20:50.349470,26,0,0
word,1,2021-05-17 20:20:50.352471,1040,0,0
key_press,1,2021-05-17 20:20:50.456490,104,0,0
key_press,1,2021-05-17 20:20:50.508960,50,0,0
key_press,1,2021-05-17 20:20:50.665881,155,0,0
key_press,1,2021-05-17 20:20:50.765474,98,0,0
key_press,1,2021-05-17 20:20:50.923471,156,0,0
key_press,1,2021-05-17 20:20:51.082471,157,0,0
key_press,1,2021-05-17 20:20:51.184864,100,0,0
word,1,2021-05-17 20:20:51.186865,833,0,0
key_press,1,2021-05-17 20:20:51.300022,114,0,0
key_press,1,2021-05-17 20:20:51.398046,96,0,0
key_press,1,2021-05-17 20:20:51.481065,81,0,0
word,1,2021-05-17 20:20:51.483065,295,0,0
key_press,1,2021-05-17 20:20:51.579087,96,0,0
key_press,1,2021-05-17 20:20:51.671109,90,0,0
key_press,1,2021-05-17 20:20:51.779379,107,0,0
key_press,1,2021-05-17 20:20:51.905187,124,0,0
key_press,1,2021-05-17 20:20:51.988389,81,0,0
key_press,1,2021-05-17 20:20:52.250352,260,0,0
sentence,1,2021-05-17 20:20:52.531488,13391,67.2093196923307,0
key_press,1,2021-05-17 20:20:53.560470,190,0,0
key_press,1,2021-05-17 20:20:53.790335,227,0,0
key_press,1,2021-05-17 20:20:53.870468,77,0,0
key_press,1,2021-05-17 20:20:53.966375,94,0,0
word,1,2021-05-17 20:20:53.968375,598,0,0
key_press,1,2021-05-17 20:20:54.076859,108,0,0
key_press,1,2021-05-17 20:20:54.200380,122,0,0
key_press,1,2021-05-17 20:20:54.335472,133,0,0
key_press,1,2021-05-17 20:20:54.443470,106,0,0
key_press,1,2021-05-17 20:20:54.642456,197,0,0
key_press,1,2021-05-17 20:20:54.725343,81,0,0
word,1,2021-05-17 20:20:54.727344,757,0,0
key_press,1,2021-05-17 20:20:54.853972,126,0,0
key_press,1,2021-05-17 20:20:54.946014,91,0,0
key_press,1,2021-05-17 20:20:55.071457,123,0,0
word,1,2021-05-17 20:20:55.073458,344,0,0
key_press,1,2021-05-17 20:20:55.162830,89,0,0
key_press,1,2021-05-17 20:20:55.265212,101,0,0
key_press,1,2021-05-17 20:20:55.448230,181,0,0
key_press,1,2021-05-17 20:20:55.542251,92,0,0
key_press,1,2021-05-17 20:20:55.625270,81,0,0
key_press,1,2021-05-17 20:20:55.877832,250,0,0
word,1,2021-05-17 20:20:55.879832,804,0,0
key_press,1,2021-05-17 20:20:56.051273,172,0,0
key_press,1,2021-05-17 20:20:56.174309,121,0,0
key_press,1,2021-05-17 20:20:56.264309,88,0,0
key_press,1,2021-05-17 20:20:56.351351,85,0,0
word,1,2021-05-17 20:20:56.353352,472,0,0
key_press,1,2021-05-17 20:20:56.455480,102,0,0
key_press,1,2021-05-17 20:20:56.545382,88,0,0
key_press,1,2021-05-17 20:20:56.628822,81,0,0
key_press,1,2021-05-17 20:20:56.749374,119,0,0
key_press,1,2021-05-17 20:20:56.872379,121,0,0
word,1,2021-05-17 20:20:56.874380,519,0,0
key_press,1,2021-05-17 20:20:56.948428,74,0,0
key_press,1,2021-05-17 20:20:57.081456,131,0,0
key_press,1,2021-05-17 20:20:57.155060,72,0,0
word,1,2021-05-17 20:20:57.157060,281,0,0
key_press,1,2021-05-17 20:20:57.277120,120,0,0
key_press,1,2021-05-17 20:20:57.339535,60,0,0
key_press,1,2021-05-17 20:20:57.444861,102,0,0
key_press,1,2021-05-17 20:20:57.554146,108,0,0
key_press,1,2021-05-17 20:20:57.664854,108,0,0
key_press,1,2021-05-17 20:20:57.734871,68,0,0
word,1,2021-05-17 20:20:57.736872,577,0,0
key_press,1,2021-05-17 20:20:57.835388,99,0,0
key_press,1,2021-05-17 20:20:57.973382,136,0,0
key_press,1,2021-05-17 20:20:58.122384,147,0,0
key_press,1,2021-05-17 20:20:58.224205,100,0,0
key_press,1,2021-05-17 20:20:58.357469,131,0,0
key_press,1,2021-05-17 20:20:58.512378,153,0,0
key_press,1,2021-05-17 20:20:58.705853,191,0,0
word,1,2021-05-17 20:20:58.707854,969,0,0
key_press,1,2021-05-17 20:20:58.823469,116,0,0
key_press,1,2021-05-17 20:20:58.959889,134,0,0
key_press,1,2021-05-17 20:20:59.138816,177,0,0
key_press,1,2021-05-17 20:20:59.438811,298,0,0
key_press,1,2021-05-17 20:20:59.504471,64,0,0
key_press,1,2021-05-17 20:20:59.596478,90,0,0
key_press,1,2021-05-17 20:20:59.745003,147,0,0
key_press,1,2021-05-17 20:20:59.920992,173,0,0
key_press,1,2021-05-17 20:20:59.981827,59,0,0
key_press,1,2021-05-17 20:21:00.116861,133,0,0
word,1,2021-05-17 20:21:00.118862,1409,0,0
key_press,1,2021-05-17 20:21:00.246349,128,0,0
key_press,1,2021-05-17 20:21:00.341342,93,0,0
key_press,1,2021-05-17 20:21:01.070384,727,0,0
key_press,1,2021-05-17 20:21:01.313837,240,0,0
key_press,1,2021-05-17 20:21:01.444325,129,0,0
key_press,1,2021-05-17 20:21:01.543344,98,0,0
key_press,1,2021-05-17 20:21:01.662455,116,0,0
word,1,2021-05-17 20:21:01.664457,1544,0,0
key_press,1,2021-05-17 20:21:01.790455,126,0,0
key_press,1,2021-05-17 20:21:01.884456,92,0,0
key_press,1,2021-05-17 20:21:01.980711,94,0,0
key_press,1,2021-05-17 20:21:02.085379,103,0,0
word,1,2021-05-17 20:21:02.088380,422,0,0
key_press,1,2021-05-17 20:21:02.218468,130,0,0
key_press,1,2021-05-17 20:21:02.295477,75,0,0
key_press,1,2021-05-17 20:21:02.480483,183,0,0
key_press,1,2021-05-17 20:21:02.566380,84,0,0
key_press,1,2021-05-17 20:21:02.758830,190,0,0
key_press,1,2021-05-17 20:21:02.811667,51,0,0
key_press,1,2021-05-17 20:21:02.933473,120,0,0
word,1,2021-05-17 20:21:02.935473,846,0,0
key_press,1,2021-05-17 20:21:03.006469,71,0,0
key_press,1,2021-05-17 20:21:03.137455,129,0,0
key_press,1,2021-05-17 20:21:03.222818,82,0,0
key_press,1,2021-05-17 20:21:03.376392,152,0,0
key_press,1,2021-05-17 20:21:03.868469,490,0,0
key_press,1,2021-05-17 20:21:03.974375,103,0,0
key_press,1,2021-05-17 20:21:04.209397,233,0,0
sentence,1,2021-05-17 20:21:04.422447,11052,70.5754614549403,0
key_press,1,2021-05-17 20:21:05.748978,287,0,0
key_press,1,2021-05-17 20:21:05.817733,67,0,0
word,1,2021-05-17 20:21:05.819744,358,0,0
key_press,1,2021-05-17 20:21:05.942376,123,0,0
key_press,1,2021-05-17 20:21:06.037424,93,0,0
key_press,1,2021-05-17 20:21:06.128785,89,0,0
key_press,1,2021-05-17 20:21:06.355796,225,0,0
key_press,1,2021-05-17 20:21:06.468474,111,0,0
key_press,1,2021-05-17 20:21:06.592477,121,0,0
word,1,2021-05-17 20:21:06.594478,773,0,0
key_press,1,2021-05-17 20:21:06.763207,169,0,0
key_press,1,2021-05-17 20:21:06.896386,131,0,0
key_press,1,2021-05-17 20:21:07.076791,178,0,0
key_press,1,2021-05-17 20:21:07.189667,111,0,0
key_press,1,2021-05-17 20:21:07.272376,81,0,0
key_press,1,2021-05-17 20:21:07.361455,87,0,0
key_press,1,2021-05-17 20:21:07.563380,199,0,0
key_press,1,2021-05-17 20:21:07.713377,148,0,0
key_press,1,2021-05-17 20:21:07.825373,110,0,0
word,1,2021-05-17 20:21:07.827374,1231,0,0
key_press,1,2021-05-17 20:21:08.164469,337,0,0
key_press,1,2021-05-17 20:21:08.291802,125,0,0
key_press,1,2021-05-17 20:21:08.386641,93,0,0
key_press,1,2021-05-17 20:21:08.507374,119,0,0
key_press,1,2021-05-17 20:21:08.553375,44,0,0
key_press,1,2021-05-17 20:21:09.373310,818,0,0
key_press,1,2021-05-17 20:21:09.537378,161,0,0
key_press,1,2021-05-17 20:21:09.623767,84,0,0
word,1,2021-05-17 20:21:09.625767,1796,0,0
key_press,1,2021-05-17 20:21:09.835686,210,0,0
key_press,1,2021-05-17 20:21:09.894712,57,0,0
key_press,1,2021-05-17 20:21:09.959695,63,0,0
key_press,1,2021-05-17 20:21:10.102784,141,0,0
word,1,2021-05-17 20:21:10.104785,477,0,0
key_press,1,2021-05-17 20:21:10.177435,73,0,0
key_press,1,2021-05-17 20:21:10.267380,88,0,0
key_press,1,2021-05-17 20:21:10.493455,224,0,0
key_press,1,2021-05-17 20:21:10.666984,171,0,0
key_press,1,2021-05-17 20:21:10.817824,149,0,0
key_press,1,2021-05-17 20:21:11.151477,332,0,1
key_press,1,2021-05-17 20:21:11.153478,0,0,1
key_press,1,2021-05-17 20:21:11.325796,170,0,2
key_press,1,2021-05-17 20:21:11.327797,0,0,2
key_press,1,2021-05-17 20:21:11.485199,156,0,3
key_press,1,2021-05-17 20:21:11.487201,0,0,3
key_press,1,2021-05-17 20:21:11.664474,175,0,4
key_press,1,2021-05-17 20:21:11.666475,0,0,4
key_press,1,2021-05-17 20:21:11.835344,167,0,5
key_press,1,2021-05-17 20:21:11.837345,0,0,5
word,1,2021-05-17 20:21:11.839345,1733,0,5
key_press,1,2021-05-17 20:21:11.874759,35,0,5
key_press,1,2021-05-17 20:21:11.926455,50,0,5
key_press,1,2021-05-17 20:21:12.126375,198,0,5
key_press,1,2021-05-17 20:21:12.308373,179,0,5
key_press,1,2021-05-17 20:21:12.451689,141,0,5
key_press,1,2021-05-17 20:21:12.498942,45,0,5
key_press,1,2021-05-17 20:21:12.627400,127,0,5
key_press,1,2021-05-17 20:21:12.686678,57,0,5
word,1,2021-05-17 20:21:12.688689,847,0,5
key_press,1,2021-05-17 20:21:12.798386,110,0,5
key_press,1,2021-05-17 20:21:12.973695,173,0,5
key_press,1,2021-05-17 20:21:13.020469,45,0,5
word,1,2021-05-17 20:21:13.022470,332,0,5
key_press,1,2021-05-17 20:21:13.179753,157,0,5
key_press,1,2021-05-17 20:21:13.358469,177,0,5
key_press,1,2021-05-17 20:21:13.433379,73,0,5
key_press,1,2021-05-17 20:21:13.551916,115,0,5
word,1,2021-05-17 20:21:13.553916,529,0,5
key_press,1,2021-05-17 20:21:13.643469,90,0,5
key_press,1,2021-05-17 20:21:13.709477,63,0,5
key_press,1,2021-05-17 20:21:13.927374,216,0,5
key_press,1,2021-05-17 20:21:14.090410,161,0,5
key_press,1,2021-05-17 20:21:14.275286,183,0,5
key_press,1,2021-05-17 20:21:14.349375,71,0,5
key_press,1,2021-05-17 20:21:14.477468,126,0,5
word,1,2021-05-17 20:21:14.479468,924,0,5
key_press,1,2021-05-17 20:21:14.627673,148,0,5
key_press,1,2021-05-17 20:21:14.667353,38,0,5
key_press,1,2021-05-17 20:21:14.882456,213,0,5
key_press,1,2021-05-17 20:21:14.960693,76,0,5
key_press,1,2021-05-17 20:21:15.151782,189,0,5
key_press,1,2021-05-17 20:21:16.062455,909,0,5
key_press,1,2021-05-17 20:21:16.164814,99,0,5
key_press,1,2021-05-17 20:21:16.338830,172,0,5
word,1,2021-05-17 20:21:16.340831,1859,0,5
key_press,1,2021-05-17 20:21:16.606374,266,0,5
key_press,1,2021-05-17 20:21:16.751746,142,0,5
key_press,1,2021-05-17 20:21:16.863436,110,0,5
word,1,2021-05-17 20:21:16.865436,523,0,5
key_press,1,2021-05-17 20:21:17.027373,162,0,5
key_press,1,2021-05-17 20:21:17.138394,109,0,5
key_press,1,2021-05-17 20:21:17.263455,123,0,5
key_press,1,2021-05-17 20:21:17.379152,114,0,5
word,1,2021-05-17 20:21:17.382153,515,0,5
key_press,1,2021-05-17 20:21:17.515382,133,0,5
key_press,1,2021-05-17 20:21:17.547455,29,0,5
key_press,1,2021-05-17 20:21:17.745544,196,0,5
key_press,1,2021-05-17 20:21:17.959845,212,0,5
key_press,1,2021-05-17 20:21:18.108398,147,0,5
key_press,1,2021-05-17 20:21:18.195737,85,0,5
word,1,2021-05-17 20:21:18.197737,813,0,5
key_press,1,2021-05-17 20:21:18.310378,113,0,5
key_press,1,2021-05-17 20:21:18.844480,531,0,5
key_press,1,2021-05-17 20:21:19.007455,161,0,5
word,1,2021-05-17 20:21:19.009456,810,0,5
key_press,1,2021-05-17 20:21:19.145689,136,0,5
key_press,1,2021-05-17 20:21:19.264034,117,0,5
key_press,1,2021-05-17 20:21:19.375455,109,0,5
key_press,1,2021-05-17 20:21:19.519502,142,0,5
key_press,1,2021-05-17 20:21:19.669765,148,0,5
key_press,1,2021-05-17 20:21:19.868373,197,0,5
key_press,1,2021-05-17 20:21:19.931345,61,0,5
word,1,2021-05-17 20:21:19.933346,922,0,5
key_press,1,2021-05-17 20:21:20.090464,157,0,5
key_press,1,2021-05-17 20:21:20.195378,103,0,5
key_press,1,2021-05-17 20:21:20.274379,76,0,5
word,1,2021-05-17 20:21:20.276380,341,0,5
key_press,1,2021-05-17 20:21:20.417370,141,0,5
key_press,1,2021-05-17 20:21:20.482481,63,0,5
key_press,1,2021-05-17 20:21:20.801629,316,0,5
key_press,1,2021-05-17 20:21:20.949468,146,0,5
key_press,1,2021-05-17 20:21:21.076464,125,0,5
key_press,1,2021-05-17 20:21:21.166469,88,0,5
word,1,2021-05-17 20:21:21.168470,890,0,5
key_press,1,2021-05-17 20:21:21.260470,92,0,5
key_press,1,2021-05-17 20:21:21.453392,191,0,5
key_press,1,2021-05-17 20:21:21.545344,90,0,5
word,1,2021-05-17 20:21:21.547345,377,0,5
key_press,1,2021-05-17 20:21:21.659724,112,0,5
key_press,1,2021-05-17 20:21:21.895577,234,0,5
key_press,1,2021-05-17 20:21:21.908713,11,0,5
key_press,1,2021-05-17 20:21:22.334455,424,0,6
key_press,1,2021-05-17 20:21:22.337375,1,0,6
key_press,1,2021-05-17 20:21:22.530382,192,0,7
key_press,1,2021-05-17 20:21:22.532383,1,0,7
key_press,1,2021-05-17 20:21:22.769470,235,0,7
key_press,1,2021-05-17 20:21:22.899376,128,0,7
key_press,1,2021-05-17 20:21:23.001468,100,0,7
key_press,1,2021-05-17 20:21:23.105372,102,0,7
word,1,2021-05-17 20:21:23.107373,1558,0,7
key_press,1,2021-05-17 20:21:23.233414,126,0,7
key_press,1,2021-05-17 20:21:23.320145,85,0,7
key_press,1,2021-05-17 20:21:23.470709,148,0,7
key_press,1,2021-05-17 20:21:23.627851,155,0,7
key_press,1,2021-05-17 20:21:23.720707,91,0,7
key_press,1,2021-05-17 20:21:23.826392,104,0,7
key_press,1,2021-05-17 20:21:23.933377,105,0,7
key_press,1,2021-05-17 20:21:24.058472,122,0,7
word,1,2021-05-17 20:21:24.060483,951,0,7
key_press,1,2021-05-17 20:21:24.198396,138,0,7
key_press,1,2021-05-17 20:21:24.377096,177,0,7
key_press,1,2021-05-17 20:21:24.486469,106,0,7
